0,1,2,3,4,5,6,7,8,9,label
-1.5579428700599807,-1.343462583904985,-0.9290819172252688,-1.001798424986181,-0.6991746570252606,-1.213536200622773,-0.333840016805398,-0.9111360697248001,-0.7175375280985075,-1.3216721706199919,1
-1.0319984248963976,-0.2152161634445744,-1.9335911453368795,-0.7964502455992917,-0.42089736436655295,-0.7786991162861058,-1.254694021478225,-0.46386787328542434,-1.081726803184818,-0.573527277420162,0
-0.17373287853758743,-0.7287357991250899,-0.974781222632648,-0.20330349103389742,-0.32692325902527586,-0.07556156016433328,-1.159394152896964,-0.9820263074919916,-1.2613621572945226,-0.5986956375765835,0
-1.0359956684479068,-1.1396413746404395,-0.42125215728607845,-1.3696297761182008,-1.544958681498144,-1.1073777967338194,-0.03247120709784475,-1.0887006158265684,0.14940800213864908,-0.5840869850046897,1
-1.1477357267421853,-1.3078932616464343,-1.7398486562214022,-0.6304766484495907,-0.4435107364468839,-0.540724614793002,-1.184922396648838,-0.6852399640544756,-1.189953303098712,-0.6068015166903513,0
-1.4519160486280045,-1.7924304323212243,-1.070745925176315,-1.3297413523908466,-1.4139392188939133,-1.4137342797812569,-0.20733615817210482,-1.3750383775133774,-0.2444732248707969,-1.3338518982920051,1
-0.5667452656739477,-0.5171774866738715,-1.094408384885578,-0.4501566757032271,0.08207269249266078,-0.29566339898624383,-1.283972484807399,-0.28959501123194215,-1.0131489209643005,-0.16624550320728326,0
1.4517973762608964,0.9905683978783015,-1.3619143577938688,0.7203260229848355,-0.6379921320690921,-0.8421287692923386,-1.1362186523064535,-0.2119140668553816,-1.2275727212155572,-0.3585808164490457,0
-1.9929910729002867,-1.5530776684972176,-1.0684754973415715,-1.4436094385389633,-1.1383195625357303,-0.947120617316534,-0.7792883986100427,-1.1741169520079275,-0.9878504689587813,-1.4817283045569456,1
-1.590315953708762,-2.350770783687552,-0.6573830744464828,-1.0957573587005291,-1.3548053848699875,-1.1367732598286349,-0.0788254353765624,-0.7918243091312234,-0.08870468658620409,-1.1428630225341538,1
